Age,DistanceFromHome,JobLevel,MonthlyIncome,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,Attrition
41,1,2,5993,11,8,6,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,1,1
49,8,2,5130,23,10,10,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,0,0
37,2,1,2090,15,7,0,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Single,1,1
33,3,1,2909,11,8,8,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Married,1,0
27,2,1,3468,12,6,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,0,0
32,2,1,3068,13,8,7,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,0,0
59,3,1,2670,20,12,1,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,1,0
30,24,1,2693,22,1,1,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,0,0
38,23,3,9526,21,10,9,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,0,0
36,27,2,5237,13,17,7,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,0,0
35,16,1,2426,13,6,5,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,0,0
29,15,2,4193,12,10,9,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,1,0
31,26,1,2911,17,5,5,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,0,0
34,19,1,2661,11,3,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Divorced,0,0
28,24,1,2028,14,6,4,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,1,1
29,21,3,9980,11,10,10,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Divorced,0,0
32,5,1,3298,12,7,6,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,1,0
22,16,1,2935,13,1,1,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,1,0
53,2,4,15427,16,31,25,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,0,0
38,2,1,3944,11,6,3,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,1,0
24,11,2,4011,18,5,4,Non-Travel,Research & Development,Other,Female,Manufacturing Director,Divorced,0,0
36,9,1,3407,23,10,5,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,0,1
34,7,3,11994,11,13,12,Travel_Rarely,Research & Development,Life Sciences,Female,Research Director,Single,0,0
21,15,1,1232,14,0,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,0,0
34,6,1,2960,11,8,4,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,0,1
53,5,5,19094,11,26,14,Travel_Rarely,Research & Development,Other,Female,Manager,Divorced,0,0
32,16,1,3919,22,10,10,Travel_Frequently,Research & Development,Life Sciences,Female,Research Scientist,Single,1,1
42,8,2,6825,11,10,9,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,0,0
44,7,3,10248,14,24,22,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,0,0
46,2,5,18947,12,22,2,Travel_Rarely,Sales,Marketing,Female,Manager,Single,0,0
33,2,1,2496,11,7,1,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,0,0
44,10,2,6465,13,9,4,Travel_Rarely,Research & Development,Other,Male,Healthcare Representative,Married,1,0
30,9,1,2206,13,10,10,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,0,0
39,5,2,2086,14,19,1,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,0,1
24,1,1,2293,16,6,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,1,1
43,2,1,2645,12,6,5,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Divorced,0,0
50,3,1,2683,14,3,3,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,1,1
35,2,1,2014,13,2,2,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,0,0
